선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
문성현,Hero,0,0,0,0,0,4,0,3.1,8.1,16.2,0.0,0.333,77.8,5.4,6.93,7.6,-0.05,-0.01
이용준,NC,0,0,0,0,0,2,0,1.2,5.4,21.6,0.0,0.429,42.9,21.6,9.33,10.62,-0.05,-0.14
강경학(투),한화,0,0,0,0,0,1,0,0.2,0.0,27.0,0.0,0.6,33.3,54.0,16.83,20.12,-0.06,-0.15
김건국,롯데,0,0,0,0,0,13,0,22.0,6.95,5.73,1.23,0.343,67.9,6.55,5.47,5.58,-0.06,-0.07
이교훈,두산,0,0,0,0,0,11,0,8.1,8.64,3.24,2.16,0.379,49.3,10.8,5.97,5.88,-0.06,-0.35
강지광,SSG,0,0,0,0,0,1,0,1.0,9.0,36.0,0.0,0.6,42.9,36.0,13.33,15.25,-0.06,-0.14
이상동,KT,0,1,0,1,0,6,0,6.1,7.11,4.26,0.0,0.333,40.0,8.53,3.18,3.12,-0.06,-0.61
김현준,KIA,0,1,0,2,0,19,0,19.2,8.69,5.49,1.83,0.244,65.4,5.49,5.88,5.83,-0.06,0.08
정영일,SSG,0,0,0,0,0,1,0,2.0,0.0,0.0,4.5,0.375,76.9,9.0,9.83,10.37,-0.06,-0.05
김진호,NC,0,1,0,0,0,1,1,1.0,9.0,27.0,0.0,0.667,40.0,27.0,10.33,11.64,-0.07,-0.19
최동환,LG,0,0,0,0,0,8,0,5.2,3.18,6.35,0.0,0.3,50.0,9.53,5.8,6.54,-0.07,-0.1
김강민(투),SSG,0,0,0,0,0,1,0,0.2,13.5,13.5,13.5,0.0,166.7,13.5,24.33,24.84,-0.07,-0.03
손주영,LG,1,3,0,0,0,7,6,26.2,7.09,6.75,1.35,0.333,58.2,8.44,6.07,6.27,-0.07,-0.41
변시원,KIA,0,0,0,0,0,1,0,0.2,0.0,40.5,0.0,0.333,60.0,27.0,21.33,25.54,-0.07,-0.1
이우석,NC,1,0,0,0,0,10,0,9.2,7.45,6.52,0.93,0.4,78.7,5.59,6.13,6.46,-0.08,0.05
박관진,Hero,0,0,0,0,0,2,0,0.2,0.0,40.5,0.0,0.625,0.0,81.0,21.33,25.54,-0.08,-0.39
조요한,SSG,0,0,0,1,0,6,0,7.0,5.14,11.57,0.0,0.4,68.4,7.71,6.05,6.68,-0.08,-0.09
소이현,NC,0,0,0,0,0,10,0,10.2,8.44,10.12,0.84,0.333,55.1,7.59,6.05,6.3,-0.08,-0.26
오현택,롯데,0,1,0,1,0,20,0,16.1,4.41,4.41,1.1,0.382,67.3,7.16,5.23,5.47,-0.08,-0.34
노시훈,NC,0,0,0,0,0,5,0,4.2,3.86,7.71,1.93,0.2,90.9,3.86,7.83,8.41,-0.08,0.04
최승용,두산,0,0,0,2,0,15,2,18.1,7.85,4.91,1.47,0.327,78.4,3.93,5.52,5.53,-0.08,0.14
김종수,한화,1,1,0,6,1,49,0,46.2,7.33,6.17,1.35,0.213,67.6,4.82,5.9,6.06,-0.08,0.44
문대원,두산,0,0,0,0,0,2,0,1.1,6.75,13.5,6.75,0.2,115.4,6.75,16.08,16.97,-0.08,-0.01
김동우,롯데,0,0,0,0,0,5,0,5.0,5.4,9.0,1.8,0.45,58.8,10.8,7.73,8.24,-0.09,-0.19
하준호,KT,0,0,0,0,0,10,0,12.0,7.5,4.5,1.5,0.368,62.5,6.75,5.33,5.32,-0.09,-0.2
정우준,롯데,0,0,0,0,0,6,0,5.2,6.35,7.94,1.59,0.294,60.3,9.53,7.92,8.52,-0.09,0.05
김진영,한화,0,1,0,1,0,20,0,18.1,3.93,6.87,0.98,0.246,80.9,3.93,5.84,6.25,-0.1,0.33
양선률,SSG,0,1,0,0,0,1,1,1.0,9.0,27.0,0.0,0.6,57.1,27.0,13.33,15.38,-0.1,-0.19
박세웅,삼성,0,0,0,0,0,4,0,3.0,6.0,9.0,3.0,0.364,65.8,9.0,10.33,11.08,-0.1,-0.16
배동현,한화,1,3,0,0,0,20,4,38.0,6.16,5.92,0.71,0.261,71.4,4.5,5.28,5.54,-0.11,0.36
이채호,SSG,0,0,0,0,0,3,0,5.0,5.4,5.4,3.6,0.316,48.8,7.2,9.13,9.47,-0.11,-0.21
김동욱,Hero,0,0,0,0,0,3,0,3.0,6.0,3.0,6.0,0.455,96.2,9.0,11.67,11.88,-0.11,-0.06
한승혁,롯데,0,0,0,0,0,7,0,4.0,11.25,11.25,2.25,0.385,56.6,13.5,8.58,8.88,-0.12,-0.24
강태경,NC,0,1,0,0,0,3,3,12.2,7.11,7.11,1.42,0.306,76.6,5.68,6.65,6.96,-0.12,0.1
조제영,두산,0,1,0,0,0,6,1,10.2,4.22,8.44,0.84,0.395,58.0,10.97,6.43,6.98,-0.13,-0.4
김건우,SSG,0,1,0,0,0,6,4,11.0,5.73,9.82,0.82,0.206,69.9,4.91,6.52,7.01,-0.13,0.3
김준형,Hero,0,0,0,0,0,14,0,14.1,5.02,4.4,1.26,0.277,85.6,3.14,6.12,6.49,-0.13,0.17
김선기,Hero,3,2,0,0,1,21,7,48.1,4.66,4.1,0.93,0.293,58.7,6.52,5.44,5.76,-0.13,-0.29
김태현,NC,0,0,0,0,0,6,0,5.1,5.06,11.81,0.0,0.278,50.0,11.81,8.4,9.61,-0.13,-0.27
임정호,NC,0,4,0,12,0,60,0,34.2,6.23,6.49,0.52,0.324,72.3,4.15,4.95,5.18,-0.14,0.58
이종민,Hero,0,0,0,0,0,2,0,2.1,11.57,27.0,3.86,0.5,52.1,23.14,15.33,16.55,-0.14,-0.26
유재유,두산,0,0,0,0,0,4,0,3.1,2.7,13.5,5.4,0.182,80.6,10.8,15.03,16.26,-0.14,-0.17
한차현,KT,0,0,0,0,0,3,0,3.2,7.36,4.91,7.36,0.467,51.3,19.64,13.97,14.24,-0.15,-0.33
이강준,롯데,1,0,0,0,0,15,0,8.1,4.32,15.12,1.08,0.357,62.5,10.8,9.69,10.87,-0.15,0.04
임규빈,Hero,0,0,0,0,0,5,0,8.2,6.23,4.15,3.12,0.333,54.7,10.38,7.83,7.99,-0.15,-0.16
최민준,SSG,3,3,0,4,1,38,12,86.0,6.49,5.23,1.15,0.309,69.8,5.86,5.54,5.72,-0.15,0.6
하재훈,SSG,1,0,0,2,0,18,0,18.0,4.0,8.0,0.5,0.259,80.4,4.0,6.0,6.58,-0.15,0.24
이재학,NC,6,6,0,0,0,17,17,83.0,7.05,5.64,1.52,0.26,73.8,5.2,6.06,6.22,-0.15,1.53
양창섭,삼성,1,1,0,1,0,9,0,15.0,7.8,4.8,1.8,0.375,72.6,6.6,5.8,5.79,-0.17,-0.02
장필준,삼성,0,0,0,2,1,41,0,34.2,6.23,7.01,1.04,0.356,64.3,7.27,5.79,6.05,-0.17,-0.34
이승민,삼성,1,4,0,0,0,11,11,35.2,5.55,4.54,1.51,0.355,59.1,8.58,6.05,6.29,-0.17,-0.49
정성종,롯데,0,0,0,0,0,12,0,12.0,3.0,6.0,1.5,0.34,63.5,8.25,7.08,7.67,-0.17,-0.27
김건태,NC,0,0,0,0,0,6,0,6.2,6.75,9.45,1.35,0.062,65.8,5.4,6.93,7.32,-0.18,-0.04
김재열,KIA,1,0,0,0,0,24,0,32.2,4.96,4.96,1.1,0.233,72.1,4.13,5.84,6.18,-0.18,0.22
장재영,Hero,0,1,0,0,1,19,2,17.2,7.13,12.23,0.0,0.3,57.1,9.17,6.33,6.94,-0.19,-0.19
남재현,KIA,0,1,0,1,0,5,1,8.0,5.62,11.25,2.25,0.296,40.7,14.62,9.08,9.74,-0.19,-0.29
오동욱,한화,0,1,0,2,0,34,0,25.0,4.68,5.76,1.08,0.225,66.1,5.4,6.37,6.85,-0.19,0.17
차명진,KIA,0,1,0,0,0,4,3,10.2,5.06,10.97,0.84,0.306,69.1,7.59,7.36,8.07,-0.19,-0.12
송재영,롯데,0,2,0,1,1,19,0,14.2,7.98,7.36,1.84,0.429,42.7,13.5,6.88,7.08,-0.2,-0.59
김대현,LG,0,0,0,0,0,4,0,3.2,9.82,7.36,4.91,0.385,36.6,12.27,11.52,11.81,-0.2,-0.26
장웅정,한화,0,0,0,0,0,4,0,7.1,4.91,2.45,4.91,0.393,78.9,9.82,10.15,10.39,-0.2,-0.19
박주홍,한화,1,1,0,0,0,2,1,3.0,9.0,27.0,0.0,0.333,63.6,12.0,10.33,11.64,-0.2,-0.11
장지수,KIA,0,0,0,0,0,9,0,14.1,3.14,8.16,0.63,0.178,80.5,3.14,6.89,7.67,-0.21,0.13
이승현(20),삼성,1,1,0,1,0,21,0,17.0,3.71,4.24,3.18,0.369,67.6,9.53,8.51,8.92,-0.21,0.02
유희관,두산,4,7,0,0,0,15,15,63.0,3.29,3.43,1.43,0.386,64.2,7.71,5.95,6.31,-0.21,-0.43
김민규,두산,2,3,0,1,0,31,6,56.1,6.23,4.47,1.44,0.302,67.1,6.07,5.73,5.89,-0.21,0.01
서동민,SSG,0,0,0,0,0,20,0,26.1,8.2,5.81,1.71,0.314,78.9,5.13,6.03,6.07,-0.22,0.11
정인욱,한화,0,0,0,0,0,8,1,9.1,5.79,9.64,1.93,0.154,75.8,4.82,8.05,8.57,-0.23,-0.05
이형범,두산,0,0,0,0,0,4,0,2.2,6.75,16.88,0.0,0.25,75.0,0.0,8.58,9.7,-0.23,-0.06
남지민,한화,0,1,0,0,0,3,3,7.1,3.68,8.59,1.23,0.296,73.9,7.36,8.38,9.3,-0.24,-0.02
강윤구,롯데,0,1,0,3,1,22,1,16.0,8.44,7.88,1.69,0.391,66.0,8.44,6.52,6.66,-0.25,-0.24
박준표,KIA,2,4,0,4,2,32,0,32.0,5.06,4.78,0.84,0.358,69.0,5.91,5.86,6.29,-0.26,-0.28
장원준,두산,0,1,1,4,0,32,0,18.2,3.86,8.68,0.48,0.311,64.8,6.75,6.39,7.05,-0.27,0.03
이정현,KT,0,1,0,0,0,2,1,8.2,1.04,5.19,3.12,0.31,62.5,9.35,9.33,10.06,-0.27,-0.23
김동혁,Hero,0,5,1,0,0,40,8,82.0,3.29,3.73,0.55,0.301,66.2,5.05,5.0,5.4,-0.27,0.25
김성민,Hero,2,3,1,11,4,47,0,46.2,6.94,6.75,0.77,0.293,80.4,3.28,5.41,5.64,-0.27,1.11
노경은,롯데,3,5,0,0,0,14,11,56.1,5.59,3.83,1.76,0.352,62.2,7.35,6.12,6.31,-0.27,-0.72
구준범,삼성,0,0,0,0,0,1,1,2.0,4.5,13.5,9.0,0.0,31.2,22.5,21.33,22.9,-0.3,-0.27
이재익,삼성,2,0,0,0,0,11,0,10.0,4.5,10.8,0.9,0.303,78.7,4.5,6.93,7.55,-0.31,-0.05
김정인,Hero,1,2,0,0,0,11,6,31.2,5.97,5.12,1.71,0.272,61.4,7.11,6.36,6.6,-0.31,-0.14
이승관,한화,0,2,0,0,0,8,2,5.2,7.94,25.41,1.59,0.476,27.3,27.0,12.33,13.7,-0.33,-1.0
최용준,KIA,0,1,0,0,0,3,2,6.1,8.53,9.95,4.26,0.364,60.8,14.21,11.39,11.87,-0.33,-0.38
서덕원,KIA,1,0,0,1,0,24,0,32.2,6.61,3.86,1.93,0.287,54.7,7.44,5.94,5.98,-0.33,-0.47
이민우,KIA,1,6,0,0,0,16,12,57.0,4.42,4.89,1.26,0.345,59.3,8.05,6.07,6.44,-0.34,-0.59
이승진,두산,1,4,2,13,0,47,0,48.1,5.21,5.77,0.56,0.266,71.6,3.91,4.91,5.17,-0.34,0.72
김이환,한화,0,1,0,0,0,14,5,26.0,4.5,7.62,0.69,0.333,65.2,7.62,6.33,6.9,-0.36,-0.15
문경찬,NC,0,1,0,4,0,35,0,31.0,7.26,5.81,1.74,0.211,68.3,4.94,6.08,6.16,-0.37,-0.09
최금강,NC,2,1,1,0,0,20,0,28.0,8.04,5.46,1.29,0.312,80.2,4.5,5.44,5.49,-0.39,0.2
이보근,KT,0,1,0,1,0,16,0,11.0,7.36,5.73,3.27,0.511,51.0,15.55,8.33,8.49,-0.4,-0.94
신정락,한화,0,2,0,2,0,20,0,20.0,6.3,6.75,1.35,0.349,49.0,8.55,6.28,6.58,-0.46,-1.31
이승재,KIA,2,1,0,5,1,25,0,24.0,6.38,6.75,1.88,0.296,67.5,7.5,7.25,7.61,-0.46,-0.12
정수민,SSG,1,2,0,0,0,10,7,30.1,6.53,8.01,1.78,0.295,70.9,6.82,7.12,7.46,-0.48,0.01
김현수,KIA,1,4,0,0,0,17,8,45.2,5.32,7.09,1.58,0.32,62.5,7.88,6.99,7.42,-0.51,-0.24
이영하,두산,5,6,1,2,0,35,11,78.2,6.06,6.52,1.03,0.301,64.1,6.29,5.68,5.94,-0.52,0.38
김정빈,SSG,0,1,0,0,0,6,6,17.1,10.9,10.38,2.6,0.366,64.9,9.87,8.81,9.09,-0.53,-0.52
이상영,LG,1,1,0,0,0,21,9,50.0,5.4,5.76,1.26,0.275,76.7,4.32,6.35,6.74,-0.65,0.54
박진태,KIA,3,3,0,9,0,59,0,65.0,6.23,4.98,0.83,0.305,67.2,5.95,5.41,5.67,-0.65,-0.05
이건욱,SSG,0,1,0,0,0,5,4,12.2,3.55,13.5,2.84,0.286,65.8,11.37,11.39,12.48,-0.67,-0.53
장민기,KIA,2,1,0,2,1,21,0,23.1,8.49,11.19,0.39,0.214,78.5,3.47,6.25,6.67,-0.7,0.06
김유신,KIA,2,6,0,0,0,15,11,54.1,4.8,5.8,1.82,0.302,62.6,7.62,6.94,7.32,-0.91,-0.67
